Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
ZAF,2011-01-01,2011-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,4151.000000,A
ZAF,2011-01-01,2011-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7001,January,LCU,6929.000000,A
ZAF,2011-02-01,2011-02-28,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7002,February,LCU,5949.000000,A
ZAF,2011-03-01,2011-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7003,March,LCU,5051.000000,A
ZAF,2011-04-01,2011-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7004,April,LCU,4373.000000,A
ZAF,2011-05-01,2011-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7005,May,LCU,4212.000000,A
ZAF,2011-06-01,2011-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7006,June,LCU,4141.000000,A
ZAF,2011-07-01,2011-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7007,July,LCU,4446.000000,A
ZAF,2011-08-01,2011-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7008,August,LCU,4800.000000,A
ZAF,2011-09-01,2011-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7009,September,LCU,5146.000000,A
ZAF,2011-10-01,2011-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7010,October,LCU,5677.000000,A
ZAF,2011-11-01,2011-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7011,November,LCU,6029.000000,A
ZAF,2011-12-01,2011-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2011,2011,7012,December,LCU,6276.000000,A
ZAF,2012-01-01,2012-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,4373.000000,A
ZAF,2012-01-01,2012-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7001,January,LCU,6090.000000,A
ZAF,2012-02-01,2012-02-29,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7002,February,LCU,5716.000000,A
ZAF,2012-03-01,2012-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7003,March,LCU,5034.000000,A
ZAF,2012-04-01,2012-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7004,April,LCU,4657.000000,A
ZAF,2012-05-01,2012-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7005,May,LCU,4492.000000,A
ZAF,2012-06-01,2012-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7006,June,LCU,4468.000000,A
ZAF,2012-07-01,2012-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7007,July,LCU,4648.000000,A
ZAF,2012-08-01,2012-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7008,August,LCU,5116.000000,A
ZAF,2012-09-01,2012-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7009,September,LCU,5775.000000,A
ZAF,2012-10-01,2012-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7010,October,LCU,6382.000000,A
ZAF,2012-11-01,2012-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7011,November,LCU,6580.000000,A
ZAF,2012-12-01,2012-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2012,2012,7012,December,LCU,6222.000000,A
ZAF,2013-01-01,2013-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,5653.000000,A
ZAF,2013-01-01,2013-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7001,January,LCU,7059.000000,A
ZAF,2013-02-01,2013-02-28,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7002,February,LCU,6996.000000,A
ZAF,2013-03-01,2013-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7003,March,LCU,5837.000000,A
ZAF,2013-04-01,2013-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7004,April,LCU,5206.000000,A
ZAF,2013-05-01,2013-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7005,May,LCU,4807.000000,A
ZAF,2013-06-01,2013-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7006,June,LCU,4824.000000,A
ZAF,2013-07-01,2013-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7007,July,LCU,4989.000000,A
ZAF,2013-08-01,2013-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7008,August,LCU,5396.000000,A
ZAF,2013-09-01,2013-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7009,September,LCU,5540.000000,A
ZAF,2013-10-01,2013-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7010,October,LCU,5648.000000,A
ZAF,2013-11-01,2013-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7011,November,LCU,5852.000000,A
ZAF,2013-12-01,2013-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2013,2013,7012,December,LCU,6036.000000,A
